College Code,College Name,Seat Category,AD-Artificial Intelligence & Data Science,"AE-Aeronautical Engineering","AG-Agricultural Engineering",AI-Artificial Intelligence & Machine Learning,,"AL-Agriculture Engineering Course","AR-Automation & Robotics Engineering","AS-Aerospace Engineering"
E159,"Lingaraj Appa Engineering-Gornalli, Bidar",GM,,,,,,,,
E159,"Lingaraj Appa Engineering-Gornalli, Bidar",KKR,,,,,,,,
E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",GM,,,,,,,,
E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",KKR,,,,,,,,
E164,"Reva University-Yelahanka, Bengaluru",GM,17685,,40611,,,,,
E164,"Reva University-Yelahanka, Bengaluru",KKR,54374,,86205,,,,,
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,,,,,,,,20810
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",KKR,,,,,,,,39198
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,,,,,,,,
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",KKR,,,,,,,,
E172,"Mysore College of Engineering and Management-Chikkahalli, Mysuru",GM,,,,,,,,
E172,"Mysore College of Engineering and Management-Chikkahalli, Mysuru",KKR,,,,,,,,
E173,"Presidency University-Yelahanka, Bengaluru",GM,,,,,,,,
E173,"Presidency University-Yelahanka, Bengaluru",KKR,,,,,,,,
E183,"Jain Institute of Technology-Avaragere Village, Davangere",GM,,,,73933,,,,
E183,"Jain Institute of Technology-Avaragere Village, Davangere",KKR,,,,,,,,
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,,,,,,,,
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",KKR,,,,,,,,
E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",GM,,,,,,,,
E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",KKR,,,,,,,,
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",GM,,,,58347,,,,
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",KKR,,,,,,,,
E195,"Navkis College of Engineering -Kandali NH75, Hassan",GM,55845,,,103040,,,,
E195,"Navkis College of Engineering -Kandali NH75, Hassan",KKR,,,,,,,,
E197,"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",GM,,,,,,,,
E197,"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",KKR,,,,,,,,
E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",GM,,,,,,,,
E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",KKR,,,,,,,,
E199,"Biluru Gurubasava Mahaswamiji Institute of Technology-Mudhol, Bagalkot",GM,,,,57867,,,,
E199,"Biluru Gurubasava Mahaswamiji Institute of Technology-Mudhol, Bagalkot",KKR,,,,,,,,
E201,"G Madegowda Institute of Technology-Maddur, Mandya District",GM,,,,,,,,
E201,"G Madegowda Institute of Technology-Maddur, Mandya District",KKR,,,,,,,,
E202,"C Byregowda Insitute of Technology-Thoradevandahalli, Kolar",GM,,,,101109,,,,
E202,"C Byregowda Insitute of Technology-Thoradevandahalli, Kolar",KKR,,,,,,,,
E203,"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk,
Bengaluru Rural",GM,,,,53616,,,,
E203,"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk,
Bengaluru Rural",KKR,,,,,,,,
E204,"H.K.E. Societys Sir M. Visvesvaraya College of Engineering-Yermarus Camp, Raichur",GM,,,,,,,,
E204,"H.K.E. Societys Sir M. Visvesvaraya College of Engineering-Yermarus Camp, Raichur",KKR,,,,,,,,
E205,"Vijaya Vittala Institution of Technology-Kothanur, Bengaluru",GM,,,,111222,,,,
E205,"Vijaya Vittala Institution of Technology-Kothanur, Bengaluru",KKR,,,,,,,,
E206,"Cauvery Institute Of Technology-Sundahalli, Mandya",GM,,,,,,,,
E206,"Cauvery Institute Of Technology-Sundahalli, Mandya",KKR,,,,,,,,
